ID,status,time,J,W
25160,1,4/1/2018 11:00:10,121.801488,31.149303
16565,1,4/1/2018 11:00:16,121.804282,31.151848
21552,1,4/1/2018 11:00:32,121.801683,31.149943
16565,1,4/1/2018 11:00:36,121.80434,31.151858
15569,1,4/1/2018 11:00:41,121.799928,31.151982
21358,1,4/1/2018 11:00:43,121.80388,31.15329
16630,1,4/1/2018 11:01:01,121.800437,31.152335
16630,1,4/1/2018 11:01:08,121.800437,31.152335
10899,1,4/1/2018 11:01:09,121.801298,31.149835
27252,1,4/1/2018 11:01:10,121.80442,31.151182
25849,1,4/1/2018 11:01:33,121.803337,31.149302
18774,1,4/1/2018 11:01:35,121.803568,31.153068
16834,1,4/1/2018 11:02:09,121.800528,31.151957
13436,1,4/1/2018 11:02:25,121.803093,31.15398
15921,1,4/1/2018 11:02:39,121.80387,31.145697
10277,1,4/1/2018 11:02:42,121.799202,31.153222
16253,1,4/1/2018 11:02:44,121.803335,31.153873
17309,1,4/1/2018 11:02:48,121.804298,31.151758
26944,1,4/1/2018 11:03:05,121.799007,31.152813
20027,1,4/1/2018 11:03:26,121.803273,31.154138
20027,1,4/1/2018 11:03:36,121.803265,31.154142
21153,1,4/1/2018 11:03:42,121.805977,31.147653
18739,1,4/1/2018 11:04:03,121.803038,31.154697
17309,1,4/1/2018 11:04:18,121.804287,31.151733
26507,1,4/1/2018 11:04:18,121.800033,31.152045
20323,1,4/1/2018 11:05:11,121.799647,31.152567
13764,1,4/1/2018 11:05:15,121.803408,31.153558
21903,1,4/1/2018 11:05:23,121.804037,31.152277
30140,1,4/1/2018 11:05:38,121.799375,31.152912
10466,1,4/1/2018 11:05:45,121.804102,31.152177
22050,1,4/1/2018 11:06:11,121.800325,31.15165
15972,1,4/1/2018 11:06:46,121.799882,31.152117
27429,1,4/1/2018 11:06:50,121.804482,31.151508
10217,1,4/1/2018 11:07:17,121.804055,31.15215
10674,1,4/1/2018 11:07:34,121.803698,31.153148
18863,1,4/1/2018 11:07:36,121.803628,31.153115
17437,1,4/1/2018 11:07:45,121.803535,31.153172
16027,1,4/1/2018 11:07:55,121.80367,31.152732
28223,1,4/1/2018 11:07:59,121.804323,31.152295
14383,1,4/1/2018 11:08:19,121.800198,31.148262
26637,1,4/1/2018 11:08:43,121.803582,31.1535
18773,1,4/1/2018 11:10:18,121.799808,31.152128
22045,1,4/1/2018 11:10:26,121.804253,31.150965
14960,1,4/1/2018 11:10:35,121.80015,31.152703
22085,1,4/1/2018 11:10:46,121.799178,31.153362
16140,1,4/1/2018 11:11:31,121.80077,31.150158
25399,1,4/1/2018 11:11:31,121.803962,31.152565
25273,1,4/1/2018 11:12:19,121.803398,31.153342
14064,1,4/1/2018 11:12:40,121.800742,31.150995
11867,1,4/1/2018 11:13:51,121.803975,31.152487
14159,1,4/1/2018 11:14:05,121.803423,31.15389
10715,1,4/1/2018 11:14:15,121.799813,31.152338
23405,1,4/1/2018 11:14:25,121.799478,31.153038
15846,1,4/1/2018 11:15:02,121.799965,31.15269
15818,1,4/1/2018 11:15:12,121.799907,31.152615
16328,1,4/1/2018 11:16:50,121.804168,31.152822
26880,1,4/1/2018 11:16:52,121.800038,31.152512
21120,1,4/1/2018 11:17:35,121.799248,31.153083
28598,1,4/1/2018 11:18:38,121.799475,31.152777
21103,1,4/1/2018 11:19:09,121.803618,31.153003
21103,1,4/1/2018 11:19:19,121.803618,31.153003
21437,1,4/1/2018 11:20:15,121.80035,31.150978
26600,1,4/1/2018 11:21:04,121.80314,31.154097
13766,1,4/1/2018 11:21:32,121.80174,31.1499
30010,1,4/1/2018 11:21:44,121.803597,31.153363
20806,1,4/1/2018 11:23:08,121.803488,31.153838
20806,1,4/1/2018 11:23:09,121.803493,31.15384
17726,1,4/1/2018 11:23:34,121.804013,31.152503
20382,1,4/1/2018 11:23:34,121.804228,31.152738
27704,1,4/1/2018 11:23:34,121.80404,31.152273
27551,1,4/1/2018 11:23:39,121.799548,31.152713
17776,1,4/1/2018 11:23:51,121.804033,31.153443
10258,1,4/1/2018 11:24:12,121.800127,31.152397
14869,1,4/1/2018 11:24:35,121.799375,31.152465
27362,1,4/1/2018 11:24:37,121.80397,31.152165
16549,1,4/1/2018 11:24:56,121.805823,31.148477
25643,1,4/1/2018 11:25:40,121.799267,31.153278
18021,1,4/1/2018 11:27:34,121.80325,31.154197
25099,1,4/1/2018 11:28:22,121.803432,31.15378
21416,1,4/1/2018 11:29:09,121.802665,31.15573
20875,1,4/1/2018 11:29:15,121.803735,31.152998
15187,1,4/1/2018 11:30:18,121.803603,31.153475
11451,1,4/1/2018 11:30:50,121.799402,31.152683
14416,1,4/1/2018 11:31:59,121.799328,31.152997
15028,1,4/1/2018 11:32:00,121.800568,31.149908
28581,1,4/1/2018 11:32:40,121.800323,31.152085
12810,1,4/1/2018 11:33:53,121.79987,31.15202
14515,1,4/1/2018 11:35:17,121.799903,31.152422
14066,1,4/1/2018 11:35:31,121.804042,31.152138
28524,1,4/1/2018 11:36:20,121.803875,31.153257
13617,1,4/1/2018 11:36:40,121.799323,31.15295
23387,1,4/1/2018 11:37:03,121.803063,31.153885
14960,1,4/1/2018 11:37:09,121.803292,31.15348
12887,1,4/1/2018 11:37:12,121.804217,31.151927
23387,1,4/1/2018 11:37:33,121.80255,31.156338
11966,1,4/1/2018 11:37:35,121.802435,31.156728
30042,1,4/1/2018 11:38:35,121.804037,31.152138
27492,1,4/1/2018 11:39:14,121.803712,31.153165
21130,1,4/1/2018 11:39:35,121.799887,31.152322
26180,1,4/1/2018 11:39:37,121.803748,31.152822
23314,1,4/1/2018 11:39:39,121.803035,31.15447
30012,1,4/1/2018 11:40:43,121.799603,31.15247
26897,1,4/1/2018 11:41:11,121.799423,31.152877
23920,1,4/1/2018 11:41:43,121.800975,31.148015
30201,1,4/1/2018 11:41:45,121.804245,31.152012
17179,1,4/1/2018 11:42:04,121.79952,31.152753
15232,1,4/1/2018 11:42:17,121.80009,31.151212
14848,1,4/1/2018 11:43:16,121.803978,31.153232
20379,1,4/1/2018 11:43:21,121.803962,31.152182
16289,1,4/1/2018 11:43:59,121.804263,31.15169
27419,1,4/1/2018 11:44:17,121.799183,31.1531
13199,1,4/1/2018 11:44:32,121.80418,31.151978
26459,1,4/1/2018 11:44:37,121.800697,31.149395
12962,1,4/1/2018 11:45:14,121.804242,31.151653
30190,1,4/1/2018 11:45:33,121.80051,31.153947
20164,1,4/1/2018 11:45:53,121.804148,31.152155
25961,1,4/1/2018 11:46:00,121.799787,31.152658
20958,1,4/1/2018 11:46:36,121.805392,31.149417
20312,1,4/1/2018 11:46:37,121.798317,31.155665
14543,1,4/1/2018 11:47:09,121.803755,31.152692
12925,1,4/1/2018 11:47:50,121.804163,31.151973
26683,1,4/1/2018 11:47:57,121.799797,31.152203
12925,1,4/1/2018 11:48:07,121.804163,31.151973
11889,1,4/1/2018 11:49:08,121.804025,31.152322
20508,1,4/1/2018 11:49:08,121.803607,31.153523
25960,1,4/1/2018 11:49:17,121.804262,31.151863
23526,1,4/1/2018 11:49:41,121.805363,31.149517
27783,1,4/1/2018 11:51:10,121.80399,31.152545
25960,1,4/1/2018 11:52:35,121.80018,31.15757
13437,1,4/1/2018 11:52:52,121.803742,31.153258
20100,1,4/1/2018 11:53:05,121.799943,31.152553
28283,1,4/1/2018 11:53:21,121.80003,31.152485
11711,1,4/1/2018 11:53:35,121.803657,31.153267
11608,1,4/1/2018 11:54:48,121.803472,31.153645
16549,1,4/1/2018 11:56:05,121.803608,31.152758
18060,1,4/1/2018 11:56:18,121.803555,31.15333
18783,1,4/1/2018 11:56:31,121.805438,31.148683
18007,1,4/1/2018 11:56:39,121.803343,31.15397
17034,1,4/1/2018 11:57:23,121.803617,31.153075
28647,1,4/1/2018 11:58:19,121.80028,31.152162
21234,1,4/1/2018 11:58:20,121.79965,31.152393
16943,1,4/1/2018 11:58:37,121.805305,31.149825
13524,1,4/1/2018 11:58:56,121.79959,31.152273
18847,1,4/1/2018 11:59:03,121.803772,31.152877
11991,1,4/1/2018 11:59:37,121.801595,31.151817
27388,1,4/1/2018 11:59:44,121.799627,31.152983
22002,1,4/1/2018 12:00:02,121.805472,31.149203
11958,1,4/1/2018 12:00:03,121.801565,31.149732
20699,1,4/1/2018 12:00:03,121.801592,31.149072
25955,1,4/1/2018 12:00:04,121.803878,31.145658
27751,1,4/1/2018 12:00:04,121.804433,31.150403
12737,1,4/1/2018 12:00:05,121.801445,31.14952
