ID,status,time,J,W,speed
10273,1,4/1/2018 6:38:49,121.80408,31.15202,0.0
10273,1,4/1/2018 6:38:59,121.804085,31.152015,0.0
10273,1,4/1/2018 6:39:09,121.804088,31.152003000000004,0.0
10273,1,4/1/2018 6:39:19,121.80411200000002,31.152017,0.0
10273,1,4/1/2018 6:39:39,121.804147,31.152068,0.0
10273,1,4/1/2018 6:39:49,121.804137,31.152083,0.0
10273,1,4/1/2018 6:39:59,121.804128,31.152042,0.0
10273,1,4/1/2018 6:40:09,121.804127,31.15199,0.0
10273,1,4/1/2018 6:40:19,121.804127,31.151985,0.0
10273,1,4/1/2018 6:40:39,121.804043,31.151963,0.0
10273,1,4/1/2018 6:40:49,121.803982,31.151923,0.0
10273,1,4/1/2018 6:40:59,121.803935,31.15197,5.0
10273,1,4/1/2018 6:41:09,121.803875,31.152103000000004,17.0
10273,1,4/1/2018 6:41:16,121.803772,31.152390000000004,30.0
10273,1,4/1/2018 6:41:17,121.803733,31.15243,32.0
10273,1,4/1/2018 6:41:32,121.803077,31.153635,39.0
10273,1,4/1/2018 6:41:35,121.802943,31.15386,36.0
10273,1,4/1/2018 6:41:45,121.802752,31.154793,7.0
10273,1,4/1/2018 6:41:55,121.802778,31.155085,6.0
10273,1,4/1/2018 6:42:05,121.802793,31.155288,5.0
10273,1,4/1/2018 6:42:15,121.802743,31.155593,20.0
10273,1,4/1/2018 6:42:25,121.80271299999998,31.155838,9.0
10273,1,4/1/2018 6:42:35,121.802653,31.156053000000004,9.0
10273,1,4/1/2018 6:42:45,121.802583,31.156277000000006,6.0
10273,1,4/1/2018 6:42:55,121.802517,31.156485,8.0
10273,1,4/1/2018 6:43:05,121.802415,31.156748,13.0
10273,1,4/1/2018 6:43:15,121.802295,31.157003000000003,8.0
10273,1,4/1/2018 6:43:35,121.802087,31.15734,13.0
10273,1,4/1/2018 6:43:45,121.801865,31.15761,15.0
10273,1,4/1/2018 6:43:55,121.801547,31.157913,18.0
10273,1,4/1/2018 6:44:05,121.801197,31.158173,12.0
10273,1,4/1/2018 6:44:15,121.800902,31.158352,13.0
10273,1,4/1/2018 6:44:25,121.80058,31.158528000000004,13.0
10273,1,4/1/2018 6:44:35,121.800135,31.15882,18.0
10273,1,4/1/2018 6:44:45,121.799832,31.159132,20.0
10273,1,4/1/2018 6:44:55,121.799545,31.159692,22.0
10273,1,4/1/2018 6:45:05,121.79931299999998,31.160248,30.0
10273,1,4/1/2018 6:45:15,121.79899999999999,31.160947,31.0
10273,1,4/1/2018 6:45:25,121.798628,31.161737,45.0
