ID,status,time,J,W,speed
10715,1,4/1/2018 19:21:16,121.619848,31.342552,13.0
10715,1,4/1/2018 19:21:39,121.619577,31.341957,22.0
10715,1,4/1/2018 19:21:49,121.619588,31.341348,23.0
10715,1,4/1/2018 19:21:59,121.619618,31.34087,27.0
10715,1,4/1/2018 19:22:09,121.619645,31.340145,7.0
10715,1,4/1/2018 19:22:19,121.619645,31.340115,0.0
10715,1,4/1/2018 19:22:39,121.619645,31.340115,0.0
10715,1,4/1/2018 19:22:49,121.619645,31.340115,0.0
10715,1,4/1/2018 19:22:59,121.619645,31.340115,0.0
10715,1,4/1/2018 19:23:09,121.619647,31.340038,10.0
10715,1,4/1/2018 19:23:19,121.619627,31.3397,18.0
10715,1,4/1/2018 19:23:39,121.619623,31.33912,1.0
10715,1,4/1/2018 19:23:49,121.619603,31.339087,2.0
10715,1,4/1/2018 19:23:59,121.619603,31.339087,0.0
10715,1,4/1/2018 19:24:09,121.619603,31.339087,0.0
10715,1,4/1/2018 19:24:19,121.619603,31.339087,3.0
10715,1,4/1/2018 19:24:39,121.61938700000002,31.339082,1.0
10715,1,4/1/2018 19:24:49,121.619092,31.339073,5.0
10715,1,4/1/2018 19:24:59,121.618657,31.339067,26.0
10715,1,4/1/2018 19:25:09,121.617893,31.339057,19.0
10715,1,4/1/2018 19:25:19,121.617352,31.339262,15.0
10715,1,4/1/2018 19:25:32,121.616955,31.339340000000004,16.0
10715,1,4/1/2018 19:25:37,121.61687,31.339128,20.0
10715,1,4/1/2018 19:25:47,121.616677,31.338737,13.0
10715,1,4/1/2018 19:25:57,121.616475,31.338452,16.0
10715,1,4/1/2018 19:26:07,121.61627,31.338115,9.0
10715,1,4/1/2018 19:26:17,121.616105,31.337875,16.0
10715,1,4/1/2018 19:26:20,121.616083,31.337758,21.0
10715,1,4/1/2018 19:26:32,121.616855,31.337125,29.0
10715,1,4/1/2018 19:26:42,121.617398,31.336688,25.0
10715,1,4/1/2018 19:26:52,121.617875,31.336283,22.0
10715,1,4/1/2018 19:27:02,121.618318,31.335903,22.0
10715,1,4/1/2018 19:27:12,121.618713,31.33556,15.0
10715,1,4/1/2018 19:27:38,121.618508,31.334918,13.0
10715,1,4/1/2018 19:27:40,121.61856,31.334902000000003,19.0
10715,1,4/1/2018 19:27:42,121.618637,31.334958,22.0
10715,1,4/1/2018 19:27:50,121.619043,31.335222,29.0
10715,1,4/1/2018 19:27:52,121.619195,31.335157,35.0
10715,1,4/1/2018 19:28:02,121.62014,31.33436,43.0
10715,1,4/1/2018 19:28:12,121.62101,31.333627000000003,45.0
10715,1,4/1/2018 19:28:32,121.62283,31.332098,50.0
10715,1,4/1/2018 19:28:42,121.623897,31.331207,50.0
10715,1,4/1/2018 19:28:52,121.624817,31.330440000000007,36.0
10715,1,4/1/2018 19:28:59,121.625147,31.330088,18.0
10715,1,4/1/2018 19:29:01,121.625127,31.329998,28.0
10715,1,4/1/2018 19:29:11,121.62431200000002,31.329263,45.0
10715,1,4/1/2018 19:29:31,121.622588,31.327783,48.0
10715,1,4/1/2018 19:29:41,121.621885,31.32716,23.0
10715,1,4/1/2018 19:29:43,121.621883,31.327043,26.0
10715,1,4/1/2018 19:29:45,121.621962,31.326932,31.0
10715,1,4/1/2018 19:29:55,121.623007,31.32651,46.0
10715,1,4/1/2018 19:30:05,121.624065,31.325933000000006,48.0
10715,1,4/1/2018 19:30:15,121.62509,31.325042,50.0
10715,1,4/1/2018 19:30:35,121.626892,31.32352,15.0
10715,1,4/1/2018 19:30:45,121.62697,31.323455,0.0
10715,1,4/1/2018 19:30:55,121.62697,31.323455,0.0
10715,1,4/1/2018 19:31:05,121.62697,31.323455,0.0
10715,1,4/1/2018 19:31:14,121.627242,31.323318,12.0
10715,1,4/1/2018 19:31:19,121.62745,31.32333,31.0
10715,1,4/1/2018 19:31:37,121.62884,31.324307,25.0
10715,1,4/1/2018 19:31:39,121.628972,31.324257,36.0
10715,1,4/1/2018 19:31:49,121.629977,31.323467,60.0
10715,1,4/1/2018 19:31:59,121.631318,31.322357,63.0
10715,1,4/1/2018 19:32:09,121.632503,31.321457,45.0
10715,1,4/1/2018 19:32:19,121.633553,31.320697,58.0
10715,1,4/1/2018 19:32:39,121.636555,31.318188,74.0
10715,1,4/1/2018 19:32:49,121.637975,31.31675,83.0
10715,1,4/1/2018 19:32:59,121.63908700000002,31.314942,84.0
10715,1,4/1/2018 19:33:09,121.639673,31.312893,84.0
10715,1,4/1/2018 19:33:19,121.639758,31.31084,76.0
10715,1,4/1/2018 19:33:39,121.639563,31.307438,69.0
10715,1,4/1/2018 19:33:49,121.638837,31.305878000000003,68.0
10715,1,4/1/2018 19:33:53,121.63893799999998,31.30522,65.0
10715,1,4/1/2018 19:33:58,121.639517,31.304625,59.0
10715,1,4/1/2018 19:34:03,121.640328,31.304433000000003,61.0
10715,1,4/1/2018 19:34:08,121.641162,31.304668,63.0
10715,1,4/1/2018 19:34:18,121.642517,31.305447,53.0
10715,1,4/1/2018 19:34:38,121.645558,31.305845,53.0
10715,1,4/1/2018 19:34:48,121.647285,31.306108,66.0
10715,1,4/1/2018 19:34:58,121.649283,31.306378,76.0
10715,1,4/1/2018 19:35:08,121.651518,31.306648,82.0
10715,1,4/1/2018 19:35:18,121.65392,31.306935,82.0
10715,1,4/1/2018 19:35:38,121.65855,31.307528,77.0
10715,1,4/1/2018 19:35:48,121.660677,31.307657,65.0
10715,1,4/1/2018 19:35:58,121.66225,31.30766,39.0
10715,1,4/1/2018 19:36:08,121.662858,31.307625,22.0
10715,1,4/1/2018 19:36:18,121.664142,31.307583,72.0
10715,1,4/1/2018 19:36:38,121.668478,31.307,70.0
10715,1,4/1/2018 19:36:48,121.670438,31.306568,74.0
10715,1,4/1/2018 19:36:58,121.672552,31.305968,75.0
10715,1,4/1/2018 19:37:08,121.674598,31.30524,81.0
10715,1,4/1/2018 19:37:18,121.676753,31.304312,82.0
10715,1,4/1/2018 19:37:38,121.680853,31.302005,92.0
10715,1,4/1/2018 19:37:48,121.682948,31.300487,95.0
10715,1,4/1/2018 19:37:58,121.684885,31.298833,98.0
