ID,status,time,J,W,speed
10121,1,4/1/2018 5:46:38,121.79998,31.152062,1.0
10121,1,4/1/2018 5:46:48,121.799973,31.152027,0.0
10121,1,4/1/2018 5:46:58,121.799973,31.152027,0.0
10121,1,4/1/2018 5:47:08,121.799973,31.152027,0.0
10121,1,4/1/2018 5:47:18,121.799973,31.152027,0.0
10121,1,4/1/2018 5:47:28,121.799973,31.152027,0.0
10121,1,4/1/2018 5:47:38,121.799973,31.152027,0.0
10121,1,4/1/2018 5:47:48,121.800025,31.151962,21.0
10121,1,4/1/2018 5:47:58,121.800313,31.15135,34.0
10121,1,4/1/2018 5:48:08,121.80045,31.150385,47.0
10121,1,4/1/2018 5:48:18,121.800657,31.149055,52.0
10121,1,4/1/2018 5:48:38,121.801695,31.146305,52.0
10121,1,4/1/2018 5:48:48,121.80252,31.145188,58.0
10121,1,4/1/2018 5:48:58,121.804,31.144648,50.0
10121,1,4/1/2018 5:49:02,121.804348,31.144248,49.0
10121,1,4/1/2018 5:49:11,121.804802,31.143143,48.0
10121,1,4/1/2018 5:49:32,121.805712,31.140642,57.0
10121,1,4/1/2018 5:49:42,121.806218,31.13932,55.0
10121,1,4/1/2018 5:49:51,121.806748,31.137962,65.0
10121,1,4/1/2018 5:49:54,121.806895,31.137592,68.0
10121,1,4/1/2018 5:50:32,121.809225,31.131438,67.0
10121,1,4/1/2018 5:50:41,121.809925,31.129847,66.0
10121,1,4/1/2018 5:50:51,121.810542,31.128228000000004,72.0
10121,1,4/1/2018 5:51:02,121.811358,31.126502,68.0
10121,1,4/1/2018 5:51:12,121.811947,31.124912,60.0
10121,1,4/1/2018 5:51:32,121.812985,31.12217,51.0
10121,1,4/1/2018 5:51:42,121.813377,31.120927,51.0
10121,1,4/1/2018 5:51:52,121.813777,31.119833,34.0
10121,1,4/1/2018 5:51:55,121.813757,31.119598,28.0
10121,1,4/1/2018 5:51:58,121.813582,31.119472,23.0
10121,1,4/1/2018 5:52:03,121.813358,31.119297,25.0
10121,1,4/1/2018 5:52:06,121.8134,31.119102,33.0
