ID,status,time,J,W,speed
10464,1,4/1/2018 2:46:49,121.7667,31.055108,0.0
10464,1,4/1/2018 2:46:59,121.7667,31.055108,0.0
10464,1,4/1/2018 2:47:09,121.7667,31.055108,0.0
10464,1,4/1/2018 2:47:19,121.7667,31.055108,0.0
10464,1,4/1/2018 2:47:39,121.7667,31.055108,0.0
10464,1,4/1/2018 2:47:49,121.766822,31.055152000000003,11.0
10464,1,4/1/2018 2:47:59,121.767272,31.055118,16.0
10464,1,4/1/2018 2:48:09,121.767703,31.05508,14.0
10464,1,4/1/2018 2:48:19,121.767943,31.055063,4.0
10464,1,4/1/2018 2:48:39,121.76947,31.054985,38.0
10464,1,4/1/2018 2:48:49,121.770682,31.054982,43.0
10464,1,4/1/2018 2:48:59,121.771933,31.05501,43.0
10464,1,4/1/2018 2:49:09,121.7732,31.055067,40.0
10464,1,4/1/2018 2:49:19,121.77431,31.055083000000003,40.0
10464,1,4/1/2018 2:49:39,121.776902,31.055128000000003,46.0
10464,1,4/1/2018 2:49:49,121.778098,31.055122,29.0
10464,1,4/1/2018 2:49:59,121.778598,31.055128000000003,6.0
10464,1,4/1/2018 2:50:09,121.778642,31.055128000000003,0.0
10464,1,4/1/2018 2:50:19,121.778903,31.055135,24.0
10464,1,4/1/2018 2:50:39,121.78104,31.055178,47.0
10464,1,4/1/2018 2:50:49,121.782325,31.055192,40.0
10464,1,4/1/2018 2:50:59,121.783588,31.055208,50.0
10464,1,4/1/2018 2:51:09,121.785115,31.055203,56.0
10464,1,4/1/2018 2:51:19,121.78668799999998,31.055215000000004,56.0
10464,1,4/1/2018 2:51:39,121.789815,31.05517,33.0
10464,1,4/1/2018 2:51:49,121.790327,31.055168,2.0
10464,1,4/1/2018 2:51:59,121.790327,31.055168,0.0
10464,1,4/1/2018 2:52:09,121.790327,31.055168,0.0
10464,1,4/1/2018 2:52:19,121.790327,31.055168,0.0
10464,1,4/1/2018 2:52:39,121.790327,31.055168,0.0
10464,1,4/1/2018 2:52:49,121.790327,31.055168,0.0
10464,1,4/1/2018 2:52:59,121.790327,31.055168,0.0
10464,1,4/1/2018 2:53:09,121.790457,31.055213,15.0
10464,1,4/1/2018 2:53:11,121.790457,31.055290000000007,21.0
10464,1,4/1/2018 2:53:13,121.790363,31.055353000000004,25.0
10464,1,4/1/2018 2:53:33,121.787767,31.055377000000004,55.0
10464,1,4/1/2018 2:53:39,121.787048,31.05552,36.0
10464,1,4/1/2018 2:53:42,121.786893,31.055755,35.0
10464,1,4/1/2018 2:53:52,121.786825,31.056297,2.0
10464,1,4/1/2018 2:54:02,121.786785,31.056567,26.0
10464,1,4/1/2018 2:54:12,121.78663799999998,31.057383,46.0
10464,1,4/1/2018 2:54:32,121.786132,31.060533000000003,82.0
10464,1,4/1/2018 2:54:42,121.78586,31.062743,94.0
10464,1,4/1/2018 2:54:52,121.785587,31.065108,96.0
10464,1,4/1/2018 2:55:02,121.785328,31.067503,97.0
10464,1,4/1/2018 2:55:12,121.785067,31.069928000000004,97.0
10464,1,4/1/2018 2:55:32,121.784535,31.074815,95.0
10464,1,4/1/2018 2:55:42,121.78428,31.077133,91.0
10464,1,4/1/2018 2:55:52,121.784027,31.07945,94.0
10464,1,4/1/2018 2:56:02,121.78377,31.081767,93.0
10464,1,4/1/2018 2:56:12,121.783487,31.084075,92.0
10464,1,4/1/2018 2:56:42,121.782515,31.091042,94.0
10464,1,4/1/2018 2:56:53,121.782133,31.093593,91.0
10464,1,4/1/2018 2:57:03,121.78179,31.095838,90.0
10464,1,4/1/2018 2:57:12,121.781633,31.097733,76.0
10464,1,4/1/2018 2:57:20,121.782187,31.099105,73.0
10464,1,4/1/2018 2:57:41,121.78583,31.100658000000006,58.0
10464,1,4/1/2018 2:57:51,121.787445,31.100927,54.0
10464,1,4/1/2018 2:58:01,121.789033,31.100997,51.0
10464,1,4/1/2018 2:58:11,121.790252,31.101075,23.0
10464,1,4/1/2018 2:58:21,121.790665,31.101142,4.0
10464,1,4/1/2018 2:58:40,121.791223,31.101332,44.0
10464,1,4/1/2018 2:58:50,121.79255,31.101917,61.0
10464,1,4/1/2018 2:59:01,121.794553,31.102345,70.0
10464,1,4/1/2018 2:59:10,121.796388,31.102665,75.0
10464,1,4/1/2018 2:59:20,121.79862,31.103052,83.0
10464,1,4/1/2018 2:59:40,121.80349,31.103883000000003,91.0
10464,1,4/1/2018 2:59:50,121.806172,31.104347,97.0
10464,1,4/1/2018 3:00:00,121.80894,31.104825,96.0
10464,1,4/1/2018 3:00:10,121.811648,31.105315,93.0
10464,1,4/1/2018 3:00:40,121.817057,31.110327,100.0
10464,1,4/1/2018 3:00:45,121.817175,31.111582,101.0
10464,1,4/1/2018 3:00:55,121.816605,31.114045,95.0
10464,1,4/1/2018 3:01:05,121.815943,31.115902,67.0
10464,1,4/1/2018 3:01:15,121.815352,31.117463,70.0
10464,1,4/1/2018 3:01:35,121.813997,31.121058,79.0
10464,1,4/1/2018 3:01:45,121.813305,31.122902000000003,75.0
10464,1,4/1/2018 3:01:55,121.812677,31.124557,62.0
10464,1,4/1/2018 3:02:05,121.812135,31.126003000000004,65.0
10464,1,4/1/2018 3:02:15,121.811493,31.12769,77.0
10464,1,4/1/2018 3:02:35,121.810143,31.131327,74.0
10464,1,4/1/2018 3:02:45,121.809483,31.133093,73.0
10464,1,4/1/2018 3:02:55,121.80882,31.134842,76.0
10464,1,4/1/2018 3:03:05,121.808037,31.136827,82.0
10464,1,4/1/2018 3:03:14,121.80738999999998,31.138675,82.0
10464,1,4/1/2018 3:03:35,121.806103,31.142225,54.0
10464,1,4/1/2018 3:03:36,121.806065,31.142345,58.0
10464,1,4/1/2018 3:03:56,121.805223,31.144943,59.0
10464,1,4/1/2018 3:04:06,121.805667,31.146362,60.0
10464,1,4/1/2018 3:04:11,121.805702,31.147113,57.0
10464,1,4/1/2018 3:04:21,121.805378,31.148367,42.0
10464,1,4/1/2018 3:04:29,121.805158,31.149037,18.0
10464,1,4/1/2018 3:04:32,121.805173,31.149148,12.0
10464,1,4/1/2018 3:04:42,121.805087,31.149388,9.0
10464,1,4/1/2018 3:04:53,121.805043,31.149503000000006,1.0
10464,1,4/1/2018 3:05:02,121.805043,31.149503000000006,0.0
10464,1,4/1/2018 3:05:12,121.805015,31.149557,1.0
10464,1,4/1/2018 3:05:34,121.804942,31.14976,5.0
10464,1,4/1/2018 3:06:34,121.804932,31.149798,1.0
10464,1,4/1/2018 3:06:44,121.804932,31.149798,0.0
10464,1,4/1/2018 3:06:55,121.804932,31.149798,0.0
10464,1,4/1/2018 3:07:05,121.805108,31.149843,9.0
10464,1,4/1/2018 3:07:15,121.80513700000002,31.149605,9.0
10464,1,4/1/2018 3:07:25,121.805193,31.149387,5.0
10464,1,4/1/2018 3:07:35,121.805205,31.149343,5.0
10464,1,4/1/2018 3:07:46,121.80524,31.149227000000003,3.0
10464,1,4/1/2018 3:07:56,121.805295,31.149132,4.0
10464,1,4/1/2018 3:08:06,121.805342,31.149055,3.0
10464,1,4/1/2018 3:08:16,121.805342,31.149055,2.0
10464,1,4/1/2018 3:08:36,121.805468,31.148727,19.0
10464,1,4/1/2018 3:08:46,121.805642,31.148253000000004,21.0
10464,1,4/1/2018 3:08:57,121.805797,31.147998,1.0
10464,1,4/1/2018 3:09:06,121.805832,31.147962,0.0
10464,1,4/1/2018 3:09:17,121.805832,31.147962,8.0
10464,1,4/1/2018 3:09:37,121.805902,31.147632,1.0
10464,1,4/1/2018 3:09:47,121.805902,31.147632,0.0
10464,1,4/1/2018 3:09:57,121.805902,31.147632,0.0
10464,1,4/1/2018 3:10:07,121.805902,31.147632,0.0
10464,1,4/1/2018 3:10:17,121.805902,31.147632,0.0
10464,1,4/1/2018 3:10:36,121.805902,31.147632,0.0
10464,1,4/1/2018 3:10:46,121.805902,31.147632,0.0
10464,1,4/1/2018 3:10:56,121.805902,31.147632,0.0
10464,1,4/1/2018 3:11:06,121.805902,31.147632,0.0
10464,1,4/1/2018 3:11:16,121.805902,31.147632,0.0
10464,1,4/1/2018 3:11:36,121.805897,31.147648,0.0
10464,1,4/1/2018 3:11:46,121.805897,31.147648,0.0
10464,1,4/1/2018 3:11:56,121.805897,31.147648,0.0
10464,1,4/1/2018 3:12:06,121.805897,31.147648,0.0
10464,1,4/1/2018 3:12:16,121.805897,31.147648,0.0
10464,1,4/1/2018 3:12:36,121.805897,31.147648,0.0
10464,1,4/1/2018 3:12:46,121.805897,31.147648,0.0
10464,1,4/1/2018 3:12:56,121.805897,31.147648,0.0
10464,1,4/1/2018 3:13:06,121.805897,31.147648,0.0
10464,1,4/1/2018 3:13:16,121.805897,31.147648,0.0
10464,1,4/1/2018 3:13:36,121.80588,31.147652,0.0
10464,1,4/1/2018 3:13:46,121.80588,31.147652,0.0
10464,1,4/1/2018 3:13:56,121.80588,31.147652,0.0
10464,1,4/1/2018 3:14:06,121.80588,31.147652,0.0
10464,1,4/1/2018 3:14:16,121.80588,31.147652,0.0
10464,1,4/1/2018 3:14:36,121.80588,31.147652,0.0
10464,1,4/1/2018 3:14:46,121.80588,31.147652,0.0
10464,1,4/1/2018 3:14:56,121.80588,31.147652,0.0
10464,1,4/1/2018 3:15:06,121.80588,31.147652,0.0
10464,1,4/1/2018 3:15:16,121.80588,31.147652,0.0
10464,1,4/1/2018 3:15:36,121.805872,31.147657,0.0
10464,1,4/1/2018 3:15:46,121.805872,31.147657,0.0
10464,1,4/1/2018 3:15:56,121.805872,31.147657,0.0
10464,1,4/1/2018 3:16:06,121.805872,31.147657,0.0
10464,1,4/1/2018 3:16:16,121.805872,31.147657,0.0
10464,1,4/1/2018 3:16:36,121.805872,31.147657,0.0
10464,1,4/1/2018 3:16:46,121.805872,31.147657,0.0
10464,1,4/1/2018 3:16:56,121.805872,31.147657,0.0
10464,1,4/1/2018 3:17:06,121.805872,31.147657,0.0
10464,1,4/1/2018 3:17:16,121.805872,31.147657,0.0
10464,1,4/1/2018 3:17:36,121.805865,31.147658000000003,0.0
10464,1,4/1/2018 3:17:46,121.805865,31.147658000000003,0.0
10464,1,4/1/2018 3:17:56,121.805865,31.147658000000003,0.0
10464,1,4/1/2018 3:18:06,121.805865,31.147658000000003,0.0
10464,1,4/1/2018 3:18:16,121.805865,31.147658000000003,0.0
10464,1,4/1/2018 3:18:36,121.805865,31.147658000000003,0.0
10464,1,4/1/2018 3:18:46,121.805865,31.147658000000003,0.0
10464,1,4/1/2018 3:18:56,121.805865,31.147658000000003,0.0
10464,1,4/1/2018 3:19:06,121.805865,31.147658000000003,0.0
10464,1,4/1/2018 3:19:16,121.805865,31.147658000000003,0.0
10464,1,4/1/2018 3:19:36,121.805858,31.147658000000003,0.0
10464,1,4/1/2018 3:19:46,121.805858,31.147658000000003,0.0
10464,1,4/1/2018 3:19:56,121.805858,31.147658000000003,0.0
10464,1,4/1/2018 3:20:06,121.805858,31.147658000000003,0.0
10464,1,4/1/2018 3:20:16,121.805858,31.147658000000003,0.0
10464,1,4/1/2018 3:20:36,121.805858,31.147658000000003,0.0
10464,1,4/1/2018 3:20:46,121.805858,31.147658000000003,0.0
10464,1,4/1/2018 3:20:56,121.805858,31.147658000000003,0.0
10464,1,4/1/2018 3:21:06,121.805858,31.147658000000003,0.0
10464,1,4/1/2018 3:21:15,121.805858,31.147658000000003,0.0
10464,1,4/1/2018 3:21:36,121.80586,31.147663,0.0
10464,1,4/1/2018 3:21:46,121.80586,31.147663,0.0
10464,1,4/1/2018 3:21:56,121.80586,31.147663,0.0
10464,1,4/1/2018 3:22:06,121.80586,31.147663,0.0
10464,1,4/1/2018 3:22:16,121.80586,31.147663,0.0
10464,1,4/1/2018 3:22:36,121.80586,31.147663,0.0
10464,1,4/1/2018 3:22:46,121.80586,31.147663,0.0
10464,1,4/1/2018 3:22:56,121.80586,31.147663,0.0
10464,1,4/1/2018 3:23:06,121.80586,31.147663,0.0
10464,1,4/1/2018 3:23:16,121.80586,31.147663,0.0
10464,1,4/1/2018 3:23:36,121.805867,31.147675,0.0
10464,1,4/1/2018 3:23:46,121.805867,31.147675,0.0
10464,1,4/1/2018 3:23:56,121.805867,31.147675,0.0
10464,1,4/1/2018 3:24:06,121.805867,31.147675,0.0
